disk,run,nvme,total_samples,active_samples,read_mb_peak,read_mb_mean_active,read_mb_p50_active,read_mb_p99_active,write_mb_peak,write_mb_mean_active,total_read_mb,total_write_mb,r_await_mean_active,r_await_p99_active,rareq_sz_mean_active,rareq_sz_p50_active,aqu_sz_mean_active,aqu_sz_peak,pct_util_mean_active,pct_util_peak,pct_rrqm_mean_active,n_bursts
BIWIN,v3,nvme0n1,92,92,0.0,0.0,0.0,0.0,0.02,0.0002173913043478261,0.0,0.02,0.0013043478260869564,0.010800000000000408,0.6469565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0
WDC,v3,nvme1n1,95,26,1517.38,331.3823076923077,44.974999999999994,1504.815,1.23,0.1426923076923077,8618.78,9.92,0.1753846153846154,0.3625,54.35153846153846,25.810000000000002,0.8015384615384615,3.05,30.08153846153846,83.7,22.175,9
Seagate,v3,nvme2n1,93,2,917.78,500.92499999999995,500.92499999999995,909.4429,4617.38,0.0,1006.0799999999999,19114.73,0.165,0.16990000000000002,119.21000000000001,119.21000000000001,0.685,140.84,34.4,73.4,0.0,1
ZHITAI,v3,nvme3n1,93,7,869.32,144.44285714285715,4.62,824.6499999999996,3650.37,0.0,1014.5600000000001,19121.19,0.72,1.9881999999999993,93.95142857142856,83.38,0.13714285714285715,119.45,12.842857142857143,75.9,0.0,3
BIWIN,g1,nvme0n1,83,4,982.58,251.6125,10.64,953.5687999999998,2680.51,0.365,1007.4100000000001,19818.75,0.1425,0.20879999999999999,69.00750000000001,63.525000000000006,0.1275,287.32,5.745,97.5,40.725,2
WDC,g1,nvme1n1,94,2,733.69,501.015,501.015,729.0365,1994.88,0.0,1007.3000000000001,19802.84,0.225,0.2495,125.07,125.07,0.875,122.12,51.0,93.4,0.0,1
Seagate,g1,nvme2n1,94,3,466.47,328.69666666666666,426.81,465.6768,4610.12,0.0,990.08,19116.98,0.21666666666666667,0.2298,123.21333333333334,127.68,0.5933333333333334,130.44,59.0,82.4,0.0,1
ZHITAI,g1,nvme3n1,93,3,920.39,328.43,63.73,903.2568,3602.88,0.0,989.66,19106.72,0.11,0.1586,87.29,123.14,0.23333333333333334,145.44,21.633333333333333,78.0,0.0,1
BIWIN,g2,nvme0n1,92,30,1593.38,322.2296666666667,47.545,1556.7298,2679.64,82.36166666666666,9669.4,19830.22,0.17133333333333334,0.46650000000000014,58.00533333333333,35.59,8.786999999999999,242.38,29.716333333333335,97.5,18.396,7
WDC,g2,nvme1n1,99,5,605.26,199.54,99.08,592.7207999999999,1985.38,7.145999999999999,1002.54,18721.05,0.372,0.97,109.126,118.39,0.742,178.93,24.66,91.2,0.0,3
Seagate,g2,nvme2n1,92,3,816.34,333.96000000000004,184.66,803.7064,3961.49,0.0,1005.71,19818.07,1.1733333333333333,3.1102,107.31333333333333,120.44,0.48666666666666664,129.86,25.266666666666666,64.6,0.0,2
ZHITAI,g2,nvme3n1,93,4,663.55,247.14249999999998,161.895,653.2728999999998,4721.27,441.06,993.53,19115.4,0.3625,1.2051999999999996,83.4875,99.33,1.3175000000000001,155.78,20.85,62.7,0.0,3
BIWIN,g3,nvme0n1,92,22,1512.75,428.65136363636367,55.379999999999995,1498.05,2680.62,0.20454545454545453,9433.86,19816.41,0.1759090909090909,0.36369999999999997,64.64636363636363,31.49,0.9409090909090909,198.63,34.38590909090909,97.7,17.276363636363637,5
WDC,g3,nvme1n1,98,3,524.07,334.21000000000004,477.38,523.1362,1982.63,0.0,1007.5500000000001,18517.7,0.16666666666666669,0.2,88.58,127.11,0.5333333333333333,121.87,27.866666666666667,96.3,0.0,1
Seagate,g3,nvme2n1,94,5,467.82,197.472,33.75,467.61039999999997,4582.38,0.0,990.67,19054.8,0.626,2.2264,114.34,127.54,0.34800000000000003,137.83,34.46,80.0,0.0,2
