run,disk,cache_hit_rate,prompt_tokens_total,num_requests_total,gen_throughput,num_used_tokens,ttft_avg,ttft_p99,uncached_prompt_total
v3,BIWIN,0.0,147174.0,22.0,8.112830655901659,7104.0,1.2228841963640826,2.0,140198.0
v3,WDC,0.0,147174.0,22.0,5.683327131813337,7104.0,1.2649663400453308,4.0,140198.0
v3,Seagate,0.0,147174.0,22.0,7.781370122732527,7104.0,1.255064759091097,4.0,140198.0
v3,ZHITAI,0.0,147174.0,22.0,7.735848558884805,7104.0,1.2543499632725301,4.0,140198.0
g1,BIWIN,0.0,147174.0,22.0,9.506621274137299,7104.0,1.218682627227033,2.0,140198.0
g1,WDC,0.0,147174.0,22.0,5.643176571129192,7104.0,1.272161950227614,4.0,140198.0
g1,Seagate,0.0,147174.0,22.0,6.556091951980765,7104.0,1.3003056634085872,4.0,140646.0
g1,ZHITAI,0.0,147174.0,22.0,7.708229064643675,7104.0,1.2510776639545922,4.0,140198.0
g2,BIWIN,0.0,147174.0,22.0,9.271607529559006,7104.0,1.2202381421362092,2.0,140198.0
g2,WDC,0.0,147174.0,22.0,5.6688261373894795,7104.0,1.271973333818592,4.0,140198.0
g2,Seagate,0.0,147174.0,22.0,8.160002857045486,7104.0,1.2598563501818385,4.0,140198.0
g2,ZHITAI,0.0,147174.0,22.0,8.422775777230049,7104.0,1.243986124636153,4.0,140198.0
g3,BIWIN,0.0,147174.0,22.0,7.952607161307796,7104.0,1.220066973545148,2.0,140198.0
g3,WDC,0.0,147174.0,22.0,6.371394687719312,7104.0,1.2569988393638183,4.0,140198.0
g3,Seagate,0.0,147174.0,22.0,6.4609671581744434,7104.0,1.2988728449092213,4.0,140198.0
g3,ZHITAI,0.0,147174.0,22.0,8.350262291523253,7104.0,1.238126411136446,4.0,140198.0
g4,BIWIN,0.0,147174.0,22.0,9.265595223413637,7104.0,1.2202640852729845,2.0,140198.0
g4,WDC,0.0,147174.0,22.0,6.6929844486559755,7104.0,1.2581431355457342,4.0,140198.0
g4,Seagate,0.0,147174.0,22.0,6.549374442632913,7104.0,1.3082652679091884,4.0,141158.0
g4,ZHITAI,0.0,147174.0,22.0,8.534951285156229,7104.0,1.2408079539545724,2.0,140198.0
g5,BIWIN,0.0,147174.0,22.0,9.341443586800969,7104.0,1.219871823273107,2.0,140198.0
g5,WDC,0.0,147174.0,22.0,6.0246136394528005,7104.0,1.2706081099539999,4.0,140198.0
g5,Seagate,0.0,147174.0,22.0,6.78374965645259,7104.0,1.2614243219551016,4.0,140198.0
g5,ZHITAI,0.0,147174.0,22.0,7.686912294391832,7104.0,1.2412413747728848,2.0,140198.0
P3v2_A1,ZHITAI,0.0,147174.0,22.0,3.2951805602712643,7104.0,1.3325940224554373,4.0,146278.0
P3v2_A2,ZHITAI,0.0,147174.0,22.0,1.229852322619722,7104.0,1.3271683755007293,4.0,147174.0
P3v3_A1,ZHITAI,0.0,147174.0,22.0,2.0216599715340404,7104.0,1.3295661062266761,4.0,147174.0
